Company Name,Symbol
3M India Ltd.,3MINDIA
ABB Ltd.,ABB
ABG Shipyard Ltd.,ABGSHIP
ACC Ltd.,ACC
AIA Engineering Ltd.,AIAENG
Aarti Industries Ltd.,AARTIIND
Aban Offshore Ltd.,ABAN
Adani Enterprises Ltd.,ADANIENT
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS
Adani Power Ltd.,ADANIPOWER
Aditya Birla Nuvo Ltd.,ABIRLANUVO
Advanta India Ltd.,ADVANTA
Agro Tech Foods Ltd.,ATFL
Akzo Nobel India Ltd.,AKZOINDIA
Allahabad Bank,ALBK
Allcargo Logistics Ltd.,ALLCARGO
Alok Industries Ltd.,ALOKTEXT
Alstom India Ltd.,AIL
Alstom T&D India Ltd.,ALSTOMT&D
Amara Raja Batteries Ltd.,AMARAJABAT
Ambuja Cements Ltd.,AMBUJACEM
Amtek Auto Ltd.,AMTEKAUTO
Amtek India Ltd.,AMTEKINDIA
Anant Raj Industries Ltd.,ANANTRAJ
Andhra Bank,ANDHRABANK
Ansal Properties & Infrastructure Ltd.,ANSALAPI
Apollo Hospitals Enterprises Ltd.,APOLLOHOSP
Apollo Tyres Ltd.,APOLLOTYRE
Aptech Ltd.,APTECHT
Arshiya International Ltd.,ARSHIYA
Arvind Ltd.,ARVIND
Asahi India Glass Ltd.,ASAHIINDIA
Ashok Leyland Ltd.,ASHOKLEY
Asian Paints Ltd.,ASIANPAINT
AstraZenca Pharma India Ltd.,ASTRAZEN
Atul Ltd.,ATUL
Aurobindo Pharma Ltd.,AUROPHARMA
Autoline Industries Ltd.,AUTOIND
Automotive Axles Ltd.,AUTOAXLES
Axis Bank Ltd.,AXISBANK
BASF India Ltd.,BASF
BEML Ltd.,BEML
BF Utilities Ltd.,BFUTILITIE
BGR Energy Systems Ltd,BGRENERGY
BOC India Ltd.,BOC
Bajaj Auto Ltd.,BAJAJ-AUTO
Bajaj Electricals Ltd,BAJAJELEC
Bajaj Finance Ltd.,BAJFINANCE
Bajaj Finserv Ltd.,BAJAJFINSV
Bajaj Hindusthan Ltd.,BAJAJHIND
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG
Balkrishna Industries Ltd.,BALKRISIND
Ballarpur Industries Ltd.,BALLARPUR
Balmer Lawrie & Co. Ltd.,BALMLAWRIE
Balrampur Chini Mills Ltd.,BALRAMCHIN
Banco Products (India) Ltd.,BANCOINDIA
Bank of Baroda,BANKBARODA
Bank of India,BANKINDIA
Bannari Amman Sugars Ltd.,BANARISUG
Bata India Ltd.,BATAINDIA
Berger Paints India Ltd.,BERGEPAINT
Bhansali Engineering Polymers Ltd.,BEPL
Bharat Electronics Ltd.,BEL
Bharat Forge Ltd.,BHARATFORG
Bharat Heavy Electricals Ltd.,BHEL
Bharat Petroleum Corporation Ltd.,BPCL
Bharti Airtel Ltd.,BHARTIARTL
Bhushan Steel Ltd.,BHUSANSTL
Biocon Ltd.,BIOCON
Birla Corporation Ltd.,BIRLACORPN
Blue Dart Express Ltd.,BLUEDART
Blue Star Ltd.,BLUESTARCO
Bombay Burmah Trading Corporation Ltd.,BBTC
Bombay Dyeing & Manufacturing Co. Ltd.,BOMDYEING
Bombay Rayon Fashions Ltd.,BRFL
Bosch Ltd.,BOSCHLTD
Brigade Enterprises Ltd.,BRIGADE
Britannia Industries Ltd.,BRITANNIA
CESC Ltd.,CESC
CMC Ltd.,CMC
CORE Education & Technologies Ltd.,COREEDUTEC
CRISIL Ltd.,CRISIL
Cadila Healthcare Ltd.,CADILAHC
Cairn India Ltd.,CAIRN
Can Fin Homes Ltd.,CANFINHOME
Canara Bank,CANBK
Carborundum Universal Ltd.,CARBORUNIV
Castrol (India) Ltd.,CASTROL
Central Bank of India,CENTRALBK
Century Enka Ltd.,CENTENKA
Century Plyboards (India) Ltd.,CENTURYPLY
Century Textile & Industries Ltd.,CENTURYTEX
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT
Chennai Petroleum Corporation Ltd.,CHENNPETRO
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN
Cipla Ltd.,CIPLA
City Union Bank Ltd.,CUB
Clariant Chemicals (India) Ltd.,CLNINDIA
Coal India Ltd.,COALINDIA
Colgate Palmolive (India) Ltd.,COLPAL
Container Corporation of India Ltd.,CONCOR
Coromandel International Ltd.,COROMANDEL
Corporation Bank,CORPBANK
Cox & Kings Ltd.,COX&KINGS
Crompton Greaves Ltd.,CROMPGREAV
Cummins India Ltd.,CUMMINSIND
D B Realty Ltd.,DBREALTY
DCM Shriram Consolidated Ltd.,DCMSRMCONS
DCW Ltd.,DCW
DLF Ltd.,DLF
Dabur India Ltd.,DABUR
Deccan Chronicle Holdings Ltd.,DCHL
Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT
Delta Corp Ltd.,DELTACORP
Dena Bank,DENABANK
Development Credit Bank Ltd,DCB
Dewan Housing Finance Corporation Ltd.,DHFL
Dhanlaxmi Bank Ltd.,DHANBANK
Dish TV India Ltd.,DISHTV
Dishman Pharmaceuticals & Chemicals Ltd.,DISHMAN
Divi's Laboratories Ltd.,DIVISLAB
Dr. Reddy's Laboratories Ltd.,DRREDDY
Dredging Corporation of India Ltd.,DREDGECORP
Dynamatic Technologies Ltd.,DYNAMATECH
E.I.D. Parry (India) Ltd.,EIDPARRY
EIH Ltd.,EIHOTEL
ESAB India Ltd.,ESABINDIA
Edelweiss Financial Services Ltd.,EDELWEISS
Educomp Solutions Ltd.,EDUCOMP
Eicher Motors Ltd.,EICHERMOT
Elder Pharmaceuticals Ltd.,ELDERPHARM
Electrosteel Castings Ltd.,ELECTCAST
Elgi Equipments Ltd.,ELGIEQUIP
Emami Ltd.,EMAMILTD
Engineers India Ltd.,ENGINERSIN
Entertainment Network India Ltd.,ENIL
Era Infra Engineering Ltd.,ERAINFRA
Eros Intl Media Ltd.,EROSMEDIA
Escorts Ltd.,ESCORTS
Essar Oil Ltd.,ESSAROIL
Essel Propack Ltd.,ESSELPACK
Exide Industries Ltd.,EXIDEIND
FDC Ltd.,FDC
Fag Bearings India Ltd.,FAGBEARING
Federal Bank Ltd.,FEDERALBNK
Federal-Mogul Goetze (India) Ltd.,FMGOETZE
Financial Technologies (India) Ltd.,FINANTECH
Finolex Cables Ltd.,FINCABLES
Finolex Industries Ltd.,FINPIPE
Firstsource Solutions Ltd.,FSL
Flexituff International Ltd.,FLEXITUFF
Fortis Healthcare Ltd.,FORTIS
Fresenius Kabi Oncology Ltd.,FKONCO
Future Capital Holdings Ltd.,FCH
Future Ventures India Ltd.,FUTUREVENT
GAIL (India) Ltd.,GAIL
GHCL Ltd.,GHCL
GMR Infrastructure Ltd.,GMRINFRA
GTL Ltd.,GTL
GVK Power & Infrastructures Ltd.,GVKPIL
Gammon India Ltd.,GAMMONIND
Gammon Infrastructure Projects Ltd.,GAMMNINFRA
Gateway Distriparks Ltd.,GDL
Gati Ltd.,GATI
Geojit BNP Paribas Financial Services Ltd.,GEOJITBNPP
Geometric Ltd.,GEOMETRIC
Gillette India Ltd.,GILLETTE
Gitanjali Gems Ltd.,GITANJALI
GlaxoSmithkline Consumer Healthcare Ltd.,GSKCONS
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO
Glenmark Pharmaceuticals Ltd.,GLENMARK
Godfrey Phillips India Ltd.,GODFRYPHLP
Godrej Consumer Products Ltd.,GODREJCP
Godrej Industries Ltd.,GODREJIND
Godrej Properties Ltd.,GODREJPROP
Graphite India Ltd.,GRAPHITE
Grasim Industries Ltd.,GRASIM
Great Eastern Shipping Co. Ltd.,GESHIP
Great Offshore Ltd.,GTOFFSHORE
Greaves Cotton Ltd.,GREAVESCOT
Gujarat Alkalies & Chemicals Ltd.,GUJALKALI
Gujarat Fluorochemicals Ltd.,GUJFLUORO
